,index,start,end,text,speaker,speaker_confidence,version_country,version_season,season,episode,episode_id,subtitle_index,start_time,end_time,speaker_label,subtitle_text,word_count
0,1,2.752,5.755,"From this tiny, Malaysian
fishing village,",SPEAKER_06,1.9440312499999997,US,US01,1,1,S01E01,1,2.752,5.755,SPEAKER_06,"From this tiny, Malaysian
fishing village,",6
1,2,5.755,8.458,"these 16 Americans are
beginning the adventure",SPEAKER_06,1.4407812500000006,US,US01,1,1,S01E01,2,5.755,8.458,SPEAKER_06,"these 16 Americans are
beginning the adventure",7
2,3,8.958,10.96,of a lifetime.,SPEAKER_06,2.0020000000000007,US,US01,1,1,S01E01,3,8.958,10.96,SPEAKER_06,of a lifetime.,3
3,4,17.467,21.471,"They have volunteered to
be marooned for 39 days",SPEAKER_06,1.9406250000000007,US,US01,1,1,S01E01,4,17.467,21.471,SPEAKER_06,"They have volunteered to
be marooned for 39 days",9
4,5,21.471,23.473,on mysterious Borneo.,SPEAKER_06,1.9487187500000012,US,US01,1,1,S01E01,5,21.471,23.473,SPEAKER_06,on mysterious Borneo.,3
5,6,26.893,28.395,This is their story.,SPEAKER_06,1.144656249999997,US,US01,1,1,S01E01,6,26.893,28.395,SPEAKER_06,This is their story.,4
6,7,28.395,31.398,This is Survivor.,SPEAKER_06,2.0278437500000024,US,US01,1,1,S01E01,7,28.395,31.398,SPEAKER_06,This is Survivor.,3
7,8,84.741,86.824,survivor season1 episode1,UNKNOWN,0.0,US,US01,1,1,S01E01,8,84.741,86.824,UNKNOWN,survivor season1 episode1,3
8,9,92.125,93.126,Are we getting two of these?,SPEAKER_11,0.9069062500000058,US,US01,1,1,S01E01,9,92.125,93.126,SPEAKER_11,Are we getting two of these?,6
9,10,93.426,95.728,Where's that box?,SPEAKER_06,0.9112500000000097,US,US01,1,1,S01E01,10,93.426,95.728,SPEAKER_06,Where's that box?,3
10,11,95.829,98.832,"JEFF: You are witnessing 16
Americans begin an adventure",SPEAKER_06,3.003,US,US01,1,1,S01E01,11,95.829,98.832,SPEAKER_06,"JEFF: You are witnessing 16
Americans begin an adventure",9
11,12,98.832,100.333,"that will forever
change their lives.",SPEAKER_06,1.5010000000000048,US,US01,1,1,S01E01,12,98.832,100.333,SPEAKER_06,"that will forever
change their lives.",6
12,13,100.834,103.336,"They've been given two minutes
to salvage whatever they can",SPEAKER_06,2.5019999999999953,US,US01,1,1,S01E01,13,100.834,103.336,SPEAKER_06,"They've been given two minutes
to salvage whatever they can",10
13,14,103.336,104.838,off this boat.,SPEAKER_06,1.5019999999999953,US,US01,1,1,S01E01,14,103.336,104.838,SPEAKER_06,off this boat.,3
14,15,108.441,110.443,"Their destination: this
island right here,",SPEAKER_06,2.0019999999999953,US,US01,1,1,S01E01,15,108.441,110.443,SPEAKER_06,"Their destination: this
island right here,",6
15,16,110.543,111.845,"a beautiful, but
dangerous jungle",SPEAKER_06,1.3019999999999925,US,US01,1,1,S01E01,16,110.543,111.845,SPEAKER_06,"a beautiful, but
dangerous jungle",5
16,17,111.845,114.747,"in the middle in the
South China Sea.",SPEAKER_06,2.902000000000001,US,US01,1,1,S01E01,17,111.845,114.747,SPEAKER_06,"in the middle in the
South China Sea.",8
17,18,115.148,116.749,Who's got oars?!,SPEAKER_17,1.600999999999999,US,US01,1,1,S01E01,18,115.148,116.749,SPEAKER_17,Who's got oars?!,3
18,19,116.749,118.751,"Oh, we got our lifejackets.",SPEAKER_17,2.0020000000000095,US,US01,1,1,S01E01,19,116.749,118.751,SPEAKER_17,"Oh, we got our lifejackets.",5
19,20,118.751,120.653,"For the next 39 days,
they'll be marooned,",SPEAKER_06,1.902000000000001,US,US01,1,1,S01E01,20,118.751,120.653,SPEAKER_06,"For the next 39 days,
they'll be marooned,",8
20,21,120.653,121.654,"left to fend for themselves,",SPEAKER_06,1.0009999999999906,US,US01,1,1,S01E01,21,120.653,121.654,SPEAKER_06,"left to fend for themselves,",5
21,22,121.955,122.956,no creature comforts.,SPEAKER_06,1.0010000000000048,US,US01,1,1,S01E01,22,121.955,122.956,SPEAKER_06,no creature comforts.,3
22,23,122.956,125.959,They are wiping the slate clean.,SPEAKER_06,2.624968750000008,US,US01,1,1,S01E01,23,122.956,125.959,SPEAKER_06,They are wiping the slate clean.,6
23,24,126.459,128.461,Grab it!,SPEAKER_06,0.9731562500000024,US,US01,1,1,S01E01,24,126.459,128.461,SPEAKER_06,Grab it!,2
24,25,128.461,129.963,"16 strangers forced
to band together",SPEAKER_06,1.5019999999999811,US,US01,1,1,S01E01,25,128.461,129.963,SPEAKER_06,"16 strangers forced
to band together",6
25,26,129.963,131.464,"to carve out a new existence,",SPEAKER_06,1.5010000000000048,US,US01,1,1,S01E01,26,129.963,131.464,SPEAKER_06,"to carve out a new existence,",6
26,27,131.564,133.566,"totally accountable
for their actions.",SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,27,131.564,133.566,SPEAKER_06,"totally accountable
for their actions.",5
27,28,133.666,135.668,"They must learn to adapt,
or they're voted off.",SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,28,133.666,135.668,SPEAKER_06,"They must learn to adapt,
or they're voted off.",9
28,29,136.169,140.273,"In the end, only
one will remain",SPEAKER_06,3.4026562499999784,US,US01,1,1,S01E01,29,136.169,140.273,SPEAKER_06,"In the end, only
one will remain",7
29,30,140.673,141.674,and will leave the island,SPEAKER_06,1.0010000000000048,US,US01,1,1,S01E01,30,140.673,141.674,SPEAKER_06,and will leave the island,5
30,31,141.674,143.676,"with $1 million in
cash as their reward.",SPEAKER_06,2.001999999999981,US,US01,1,1,S01E01,31,141.674,143.676,SPEAKER_06,"with $1 million in
cash as their reward.",8
31,32,143.877,145.378,"Go, go, go!",SPEAKER_06,0.6883437500000014,US,US01,1,1,S01E01,32,143.877,145.378,SPEAKER_06,"Go, go, go!",3
32,33,145.578,149.382,"39 days, 16 people,
one survivor.",SPEAKER_06,2.885468750000001,US,US01,1,1,S01E01,33,145.578,149.382,SPEAKER_06,"39 days, 16 people,
one survivor.",6
33,34,149.682,151.684,"Grab it! Hey, behind you!",SPEAKER_11,1.4681249999999864,US,US01,1,1,S01E01,34,149.682,151.684,SPEAKER_11,"Grab it! Hey, behind you!",5
34,35,151.784,152.785,Get off the raft!,UNKNOWN,0.0,US,US01,1,1,S01E01,35,151.784,152.785,UNKNOWN,Get off the raft!,4
35,36,153.286,154.287,Get off the other side!,UNKNOWN,0.0,US,US01,1,1,S01E01,36,153.286,154.287,UNKNOWN,Get off the other side!,5
36,37,154.287,155.788,Get off the raft!,SPEAKER_11,1.4689062500000034,US,US01,1,1,S01E01,37,154.287,155.788,SPEAKER_11,Get off the raft!,4
37,38,157.29,158.791,"The rod, Sean!",SPEAKER_11,0.11812499999999204,US,US01,1,1,S01E01,38,157.29,158.791,SPEAKER_11,"The rod, Sean!",3
38,39,158.791,159.792,Listen up!,SPEAKER_11,0.8829062499999907,US,US01,1,1,S01E01,39,158.791,159.792,SPEAKER_11,Listen up!,2
39,40,159.993,161.494,Grab your backpacks!,SPEAKER_11,1.5010000000000048,US,US01,1,1,S01E01,40,159.993,161.494,SPEAKER_11,Grab your backpacks!,3
40,41,161.995,162.996,Put them on!,SPEAKER_11,0.8300312499999905,US,US01,1,1,S01E01,41,161.995,162.996,SPEAKER_11,Put them on!,3
41,42,163.096,164.097,Go! Let's do it!,SPEAKER_11,1.0010000000000048,US,US01,1,1,S01E01,42,163.096,164.097,SPEAKER_11,Go! Let's do it!,4
42,43,164.197,164.697,Whoo!,SPEAKER_11,0.5,US,US01,1,1,S01E01,43,164.197,164.697,SPEAKER_11,Whoo!,1
43,44,166.099,168.401,Here we go!,UNKNOWN,0.0,US,US01,1,1,S01E01,44,166.099,168.401,UNKNOWN,Here we go!,3
44,45,171.171,172.739,Whoo!,UNKNOWN,0.0,US,US01,1,1,S01E01,45,171.171,172.739,UNKNOWN,Whoo!,1
45,46,173.239,176.743,"The 16 contestants have been
separated into two tribes",SPEAKER_06,2.8657812499999977,US,US01,1,1,S01E01,46,173.239,176.743,SPEAKER_06,"The 16 contestants have been
separated into two tribes",9
46,47,176.743,179.846,"named after the beaches
where they will live.",SPEAKER_06,3.1030000000000086,US,US01,1,1,S01E01,47,176.743,179.846,SPEAKER_06,"named after the beaches
where they will live.",8
47,48,180.046,182.048,"The Tagi Tribe, who will
always wear orange,",SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,48,180.046,182.048,SPEAKER_06,"The Tagi Tribe, who will
always wear orange,",8
48,49,182.348,185.852,"consists of: Sean Kenniff a
neurologist from Long Island;",SPEAKER_06,3.3754687500000102,US,US01,1,1,S01E01,49,182.348,185.852,SPEAKER_06,"consists of: Sean Kenniff a
neurologist from Long Island;",9
49,50,185.852,189.756,"Kelly Wiglesworth, a river
guide from Las Vegas;",SPEAKER_06,2.935656249999994,US,US01,1,1,S01E01,50,185.852,189.756,SPEAKER_06,"Kelly Wiglesworth, a river
guide from Las Vegas;",8
50,51,189.956,193.56,"Rudy Boesch, a retired
Navy SEAL from Virginia;",SPEAKER_06,3.6040000000000134,US,US01,1,1,S01E01,51,189.956,193.56,SPEAKER_06,"Rudy Boesch, a retired
Navy SEAL from Virginia;",8
51,52,193.56,196.563,"Sonja Christopher, a
63-year-old cancer survivor",SPEAKER_06,2.807031249999966,US,US01,1,1,S01E01,52,193.56,196.563,SPEAKER_06,"Sonja Christopher, a
63-year-old cancer survivor",6
52,53,196.563,198.064,from San Francisco;,SPEAKER_06,1.5010000000000048,US,US01,1,1,S01E01,53,196.563,198.064,SPEAKER_06,from San Francisco;,3
53,54,198.264,201.467,"Richard Hatch, a corporate
communications consultant",SPEAKER_06,3.203000000000003,US,US01,1,1,S01E01,54,198.264,201.467,SPEAKER_06,"Richard Hatch, a corporate
communications consultant",6
54,55,201.467,202.969,from Rhode Island;,SPEAKER_06,1.0470937499999877,US,US01,1,1,S01E01,55,201.467,202.969,SPEAKER_06,from Rhode Island;,3
55,56,203.069,205.972,"Susan Hawk, a truck
driver from Wisconsin;",SPEAKER_06,2.4960312499999873,US,US01,1,1,S01E01,56,203.069,205.972,SPEAKER_06,"Susan Hawk, a truck
driver from Wisconsin;",7
56,57,206.472,209.876,"Dirk Been, a young dairy
farmer, also from Wisconsin,",SPEAKER_06,3.4039999999999964,US,US01,1,1,S01E01,57,206.472,209.876,SPEAKER_06,"Dirk Been, a young dairy
farmer, also from Wisconsin,",9
57,58,209.876,212.879,"and Stacey Stillman, a
litigation attorney",SPEAKER_06,2.146781249999975,US,US01,1,1,S01E01,58,209.876,212.879,SPEAKER_06,"and Stacey Stillman, a
litigation attorney",6
58,59,212.879,214.38,from San Francisco.,SPEAKER_06,1.44759375000001,US,US01,1,1,S01E01,59,212.879,214.38,SPEAKER_06,from San Francisco.,3
59,60,221.654,224.557,"The Pagong Tribe, who
will always wear yellow,",SPEAKER_06,1.3372812499999611,US,US01,1,1,S01E01,60,221.654,224.557,SPEAKER_06,"The Pagong Tribe, who
will always wear yellow,",8
60,61,224.557,226.559,consists of:,SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,61,224.557,226.559,SPEAKER_06,consists of:,2
61,62,226.759,228.761,"Gervase Peterson, a
YMCA basketball coach",SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,62,226.759,228.761,SPEAKER_06,"Gervase Peterson, a
YMCA basketball coach",6
62,63,229.262,231.264,from Philadelphia;,SPEAKER_06,1.7370937500000139,US,US01,1,1,S01E01,63,229.262,231.264,SPEAKER_06,from Philadelphia;,2
63,64,231.264,235.168,"Colleen Haskell, an advertising
student from Miami;",SPEAKER_06,3.2745312499999955,US,US01,1,1,S01E01,64,231.264,235.168,SPEAKER_06,"Colleen Haskell, an advertising
student from Miami;",7
64,65,235.668,239.272,"B.B. Andersen, a real estate
developer from Kansas city;",SPEAKER_06,3.3412500000000023,US,US01,1,1,S01E01,65,235.668,239.272,SPEAKER_06,"B.B. Andersen, a real estate
developer from Kansas city;",9
65,66,239.772,243.576,"Ramona Gray, a biochemist
from New Jersey;",SPEAKER_06,1.7549999999999955,US,US01,1,1,S01E01,66,239.772,243.576,SPEAKER_06,"Ramona Gray, a biochemist
from New Jersey;",7
66,67,243.576,247.58,"Gretchen Cordy, a preschool
teacher from Tennessee;",SPEAKER_06,1.8562499999999886,US,US01,1,1,S01E01,67,243.576,247.58,SPEAKER_06,"Gretchen Cordy, a preschool
teacher from Tennessee;",7
67,68,247.58,251.584,"Greg Buis, a recent Ivy League
graduate from Colorado;",SPEAKER_06,3.558031249999999,US,US01,1,1,S01E01,68,247.58,251.584,SPEAKER_06,"Greg Buis, a recent Ivy League
graduate from Colorado;",9
68,69,251.985,254.587,"Jenna Lewis, a single mother
and full-time student",SPEAKER_06,2.0891562499999736,US,US01,1,1,S01E01,69,251.985,254.587,SPEAKER_06,"Jenna Lewis, a single mother
and full-time student",8
69,70,254.587,256.589,"from new Hampshire,",SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,70,254.587,256.589,SPEAKER_06,"from new Hampshire,",3
70,71,256.689,260.593,"and Joel Klug, a health club
consultant from Little Rock.",SPEAKER_06,3.375,US,US01,1,1,S01E01,71,256.689,260.593,SPEAKER_06,"and Joel Klug, a health club
consultant from Little Rock.",10
71,72,265.331,267.834,"(shouting orders
to each other)",UNKNOWN,0.0,US,US01,1,1,S01E01,72,265.331,267.834,UNKNOWN,"(shouting orders
to each other)",5
72,73,268.334,270.336,"Hard to imagine that
just four hours ago,",SPEAKER_06,1.46940625000002,US,US01,1,1,S01E01,73,268.334,270.336,SPEAKER_06,"Hard to imagine that
just four hours ago,",8
